25 20
#############
#...........#    ########
#...s...s...######......#
#....................X..#
#...........######......#
#.....s.....#    #......#
#...........#    #...O..#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #########       ######
